Amsterdam= Helsinki 0.6791923642158508, Vienna 0.6228755712509155, Las-Vegas 0.6143172383308411, Florence 0.6095810532569885, rio-de-janeiro 0.6037969589233398, Delhi 0.5768492221832275, Warsaw 0.5705986618995667, agia-napa 0.5459631681442261, Glasgow 0.5216631293296814, Dubai 0.5003716349601746
mumbai-bombay= Split 0.8320721387863159, Dallas 0.8244398832321167, punta-del-este 0.7985430955886841, Varna 0.7825998067855835, Zanzibar-archipelago 0.7522162199020386, Zakynthos 0.7453994750976562, Sevilla-province 0.7443088293075562, Rosh-pina 0.725252628326416, lemesos-limasol 0.7198575139045715, Funchal 0.6862256526947021
agia-napa= Omsk 0.7968178987503052, Ushuaia 0.7447140216827393, Dead-Sea 0.7293289303779602, Lima 0.7266446352005005, Aosta 0.7047098278999329, San-Diego 0.7044116854667664, Dnipropetrovsk 0.6903837323188782, Odessa 0.6381325721740723, lefkosia-south-nicosia 0.6289753317832947, Orlando 0.6271504163742065
Krakow= Bishkek 0.5408379435539246, phuket-province 0.47759130597114563, Worcester 0.4597938656806946, Barcelona 0.4596300423145294, Los-Angeles 0.44974467158317566, Almaty 0.42964136600494385, Montenegro 0.42456167936325073, Zurich 0.4243747889995575, Yerevan 0.42228561639785767, Kazan 0.4091215133666992
Orlando= Ljubljana 0.6799553632736206, pafos 0.6771048307418823, Turin 0.657305121421814, Hanoi 0.6548907160758972, Lima 0.6397867202758789, agia-napa 0.6271504163742065, lefkosia-south-nicosia 0.6116340756416321, Omsk 0.6074296832084656, Dnipropetrovsk 0.6037576198577881, Dead-Sea 0.6005297899246216
Stuttgart= Guatemala-City 0.7827914953231812, Black-Forest 0.6764394044876099, San-Diego 0.6689587235450745, kyiv 0.6469462513923645, honolulu-and-waikiki 0.6367465853691101, Minneapolis 0.5953596830368042, Sochi 0.5832259654998779, Niagara-Falls 0.5646075010299683, Omsk 0.5565149784088135, Eilat 0.5560840368270874
Porto= baku-baki 0.6912365555763245, Guangzhou 0.6523082256317139, Phnom-Penh 0.6266593337059021, Kazan 0.6225371360778809, Podgorica 0.6208350658416748, Prague 0.58546382188797, piestany 0.5660308003425598, Almaty 0.5249341130256653, Montreal 0.5009127855300903, San-Juan-Bautista 0.48932403326034546
Hanoi= Strasbourg 0.8296136856079102, Minneapolis 0.8276752233505249, Tallinn 0.80211341381073, Turin 0.7514072060585022, Costa-Brava 0.7507149577140808, Lima 0.6949588656425476, Kos 0.6928247213363647, Pisa 0.6902337074279785, Niagara-Falls 0.686549186706543, Liverpool 0.6774811744689941
Lviv= Varna 0.7900428175926208, Sevilla-province 0.7570820450782776, punta-del-este 0.675839364528656, Funchal 0.6263270378112793, bucharest 0.5814369916915894, mumbai-bombay 0.5561552047729492, Tenerife 0.5466077923774719, Mauritius 0.5381274223327637, Montevideo 0.5337859392166138, Plovdiv 0.5219409465789795
phuket-province= Bishkek 0.7735797762870789, Kazan 0.7431600093841553, Shenzhen 0.7406573295593262, Podgorica 0.6983882784843445, Beijing 0.6974625587463379, Phnom-Penh 0.6515603065490723, yangon-rangoon 0.6507365107536316, Guangzhou 0.6501950621604919, Vienna 0.636899471282959, piestany 0.6222672462463379
Jerusalem= Cluj-Napoca 0.7507503032684326, Nairobi 0.6563431024551392, Aosta 0.58208167552948, Sarajevo 0.5727676153182983, Bergen 0.5709314346313477, Reykjavk 0.5509533286094666, Tuscany 0.5482120513916016, Warsaw 0.5400916934013367, Iraq 0.5332502126693726, Tirana 0.514256477355957
Bratislava= brisbane 0.8301340341567993, Vilnius 0.7351436614990234, Santorini-thira 0.734518826007843, Valencia 0.6721158027648926, Tirana 0.671772837638855, Iraq 0.6557494401931763, Marmaris 0.6269329786300659, Baden-Baden 0.6183205842971802, Palma-de-Mallorca 0.613999605178833, Pisa 0.5863010883331299
Palma-de-Mallorca= Salt-Lake-City 0.7360090017318726, brisbane 0.703266441822052, Basel 0.658758819103241, Vilnius 0.6443634033203125, Marmaris 0.6320233345031738, Bratislava 0.613999605178833, Kosice 0.6032127141952515, Santorini-thira 0.5989869832992554, Iraq 0.5654359459877014, marrakesh 0.5631270408630371
Marseille= Belgrade 0.6985440254211426, Panama-City 0.6649410724639893, Mombasa 0.6484156847000122, Eilat 0.6118994951248169, Dallas 0.598549485206604, Mykonos 0.5974734425544739, Phoenix 0.5920734405517578, Tbilisi 0.5788140296936035, Kalamata 0.5657537579536438, Astana 0.5647017955780029
Riga= Hanover 0.6308948993682861, Bordeaux 0.6041163206100464, Portland 0.5912638306617737, Haifa 0.5843912363052368, Iraq 0.5764721632003784, Moscow 0.5591001510620117, Dubai 0.5557365417480469, Atlanta 0.5508196949958801, Kosice 0.5259743928909302, Vienna 0.5210323929786682
Oslo= Singapore 0.6615706086158752, Toronto 0.5636462569236755, new-york-city 0.5631082057952881, Manila 0.5261088609695435, Taipei 0.5218534469604492, Montenegro 0.5013628602027893, Sardinia 0.4943585693836212, Malta 0.49352067708969116, Dresden 0.49169373512268066, Seoul 0.4492146372795105
Stockholm= Glasgow 0.6775864958763123, Austin 0.5893150568008423, Black-Forest 0.5832861661911011, Liverpool 0.5774831175804138, Chiang-Mai 0.5639970302581787, Sofia 0.551748514175415, Tokyo 0.543411374092102, Moscow 0.5354937314987183, Los-Angeles 0.5332928895950317, Dubai 0.5207895040512085
Minsk= puerto-de-la-cruz 0.6497552394866943, Athens 0.6482778191566467, Naples 0.6002280712127686, Casablanca 0.5694490671157837, Grenoble 0.5678021907806396, Manchester 0.564694881439209, Tbilisi 0.5597633123397827, Male 0.5363776087760925, Taormina 0.53275066614151, Zagreb 0.5286069512367249
Reykjavk= Nairobi 0.6511480212211609, Sarajevo 0.5823062658309937, Jerusalem 0.5509532690048218, Phoenix 0.5457957983016968, Beijing 0.5421544313430786, Brussels 0.5399647951126099, Iraq 0.49350985884666443, Amsterdam 0.48236769437789917, Philadelphia 0.4679239094257355, Shanghai 0.4626668691635132
Addis-Ababa= Kazan 0.8496018648147583, Phnom-Penh 0.8287208080291748, Yerevan 0.8191259503364563, yangon-rangoon 0.8129948377609253, piestany 0.797110378742218, Podgorica 0.787031888961792, Bishkek 0.7051643133163452, Guangzhou 0.6339406967163086, Lisbon 0.6238470077514648, Bangkok 0.6213088035583496
Casablanca= Taormina 0.6531451940536499, Tirana 0.6312276721000671, Sorrento 0.6071298122406006, Minsk 0.5694490671157837, San-Diego 0.5393215417861938, Costa-Brava 0.5373311042785645, Hanoi 0.5323545932769775, Minneapolis 0.5223686099052429, Lima 0.5152983665466309, agia-napa 0.5124794840812683
porto-san-paolo-isola-tavolara= Andorra-la-Vella 0.47728365659713745, Herzliya 0.46679025888442993, Cairo 0.4379904270172119, Worcester 0.43030744791030884, Manchester 0.3953017592430115, Boston 0.3848867416381836, Salt-Lake-City 0.3801707327365875, Netanya 0.37743571400642395, Athens 0.3500784933567047, Lapland 0.33280301094055176
Oakland= rostov-veliky 0.74614417552948, Minneapolis 0.6702598333358765, Edmonton 0.670200765132904, Colombo 0.6341986656188965, Tallinn 0.6211569309234619, Hanoi 0.5946750640869141, Kos 0.576901912689209, Houston 0.5648930668830872, San-Diego 0.5528624057769775, Tiberias 0.5495837926864624
Chicago= Taipei 0.6037894487380981, Protaras 0.5727717876434326, Tashkent 0.5438371896743774, Bologna 0.5423030853271484, Astana 0.5323063135147095, Tirol 0.5140489935874939, Seoul 0.5111579895019531, Geneva 0.49417176842689514, phuket-province 0.479162335395813, Male 0.4763150215148926
Helsinki= Amsterdam 0.6791923642158508, Florence 0.6142764687538147, Vienna 0.6028966903686523, Las-Vegas 0.6024118065834045, Los-Angeles 0.5663513541221619, phuket-province 0.5272282361984253, Atlanta 0.5193259716033936, Hawaii 0.49224022030830383, Liverpool 0.4862285852432251, kyiv 0.47765612602233887
lago-di-garda= Larnaka 0.736355185508728, Thessaloniki 0.7154819369316101, Plovdiv 0.6812846660614014, Netanya 0.643156886100769, Turin 0.6346163749694824, Krasnodar 0.6177159547805786, Kos 0.5827406644821167, Cologne 0.5674201846122742, Sevilla-province 0.5571973919868469, rostov-veliky 0.552811861038208
Ko-Samui= Venice 0.6814141273498535, punta-del-este 0.6685786843299866, Seattle 0.6638799905776978, mumbai-bombay 0.6389158964157104, Dresden 0.5811841487884521, Rosh-pina 0.574001133441925, Manila 0.5669676065444946, Split 0.5600559115409851, Bangkok 0.5572590231895447, Varna 0.5501739978790283
Mahe= Worcester 0.4426906108856201, Nahariya 0.436026394367218, Salt-Lake-City 0.4125570058822632, Kaliningrad 0.39919841289520264, Irkutsk 0.388624906539917, Palma-de-Mallorca 0.36123597621917725, Sochi 0.32936230301856995, Tallinn 0.3286309242248535, lago-di-garda 0.32536780834198, Lapland 0.3246387541294098
Dnipropetrovsk= Dead-Sea 0.6936664581298828, agia-napa 0.6903837323188782, Omsk 0.6881646513938904, Johannesburg 0.6867547035217285, Ibiza 0.6836586594581604, Odessa 0.6331560015678406, Ushuaia 0.6182456016540527, Orlando 0.6037576198577881, Cluj-Napoca 0.5548897981643677, Lima 0.5486298203468323
lemesos-limasol= Innsbruck 0.7795988321304321, Dubrovnik 0.7607947587966919, Sevilla-province 0.7464443445205688, mumbai-bombay 0.7198575139045715, Zakynthos 0.7126808166503906, Toulouse 0.712257981300354, Zanzibar-archipelago 0.701258659362793, san-jose 0.6960524320602417, Split 0.6915829181671143, Batumi 0.6758099794387817
Santorini-thira= Marmaris 0.7963410019874573, brisbane 0.7539703845977783, Bratislava 0.734518826007843, Vilnius 0.70076584815979, Pisa 0.6898452043533325, Iraq 0.6456952691078186, Grenoble 0.6243565082550049, Tirana 0.621773898601532, Manchester 0.6033161878585815, Palma-de-Mallorca 0.5989869832992554
Haifa= Santorini-thira 0.5942819714546204, Riga 0.5843912363052368, Marmaris 0.5553025007247925, Bratislava 0.5462143421173096, Stockholm 0.5113176703453064, Vilnius 0.49885690212249756, Iraq 0.4843287467956543, Andorra-la-Vella 0.47107261419296265, Halifax 0.45685839653015137, brisbane 0.4544062614440918
Iasi= Paris 0.5472438335418701, Yekaterinburg 0.49319422245025635, Burgas 0.48668164014816284, Toulouse 0.4818684458732605, Kosice 0.47168633341789246, Mauritius 0.4432849884033203, Funchal 0.4406690001487732, Basel 0.4322355091571808, Montevideo 0.4152718782424927, Lviv 0.4001771807670593
Shanghai= Hanover 0.691359281539917, Phnom-Penh 0.6703925132751465, Beijing 0.6684572696685791, yangon-rangoon 0.6598581075668335, phuket-province 0.6091941595077515, Kazan 0.6001346111297607, Lyon 0.5855152606964111, Podgorica 0.5718106031417847, Guangzhou 0.5619552135467529, piestany 0.5524572730064392
Sydney= Protaras 0.6334128975868225, Mykonos 0.566219687461853, Salzburg 0.5479093790054321, Tashkent 0.5325917601585388, Almaty 0.5224938988685608, Belgrade 0.514214813709259, Izmir 0.5054084658622742, Bergen 0.5036798715591431, Palermo 0.4995570778846741, Zagreb 0.49805742502212524
Montreal= Porto 0.5009127855300903, Madrid 0.4772511124610901, Dusseldorf 0.42671072483062744, Havana 0.42590412497520447, Nuremberg 0.4099176228046417, San-Juan-Bautista 0.39424529671669006, Bergamo 0.3923015594482422, Antwerp 0.365601122379303, Lisbon 0.35732048749923706, Nice 0.3502999544143677
Salzburg= Palermo 0.8008728623390198, Mykonos 0.7442163228988647, Mombasa 0.734695553779602, Frankfurt-region 0.6984642744064331, Grenoble 0.667557418346405, Male 0.6651743054389954, Tashkent 0.6525182723999023, kathmandu 0.6116331219673157, Kalamata 0.557923436164856, Ibiza 0.5563432574272156
Seattle= Miami 0.7063621282577515, Crete 0.6648774147033691, Ko-Samui 0.6638799905776978, St-Petersburg 0.6356232166290283, Nuremberg 0.6214417219161987, Venice 0.6180206537246704, Sardinia 0.5855422019958496, Zanzibar-archipelago 0.5782449841499329, lemesos-limasol 0.574489176273346, Split 0.5724118947982788
Lima= Odessa 0.8006871938705444, Pisa 0.7606523036956787, Ljubljana 0.7597675323486328, Omsk 0.7504152655601501, San-Diego 0.7272516489028931, agia-napa 0.7266446352005005, Aosta 0.7171522378921509, lefkosia-south-nicosia 0.7069429159164429, Hanoi 0.6949588656425476, Winnipeg 0.686892032623291
Panama-City= Mexico-City 0.8004343509674072, Sofia 0.7401522397994995, las-palmas-de-gran-canaria 0.7221812009811401, Corfu 0.687606930732727, honolulu-and-waikiki 0.6834038496017456, Tenerife 0.6759248375892639, Yekaterinburg 0.666832685470581, Marseille 0.6649410724639893, el-Salvador 0.6468632221221924, Winnipeg 0.6427809000015259
Tuscany= Tirana 0.680700421333313, Naples 0.6573619842529297, Athens 0.5983883142471313, Bordeaux 0.5723504424095154, Jerusalem 0.5482120513916016, Dubai 0.5480276346206665, Florence 0.5396387577056885, Andorra-la-Vella 0.5326715707778931, Manchester 0.5129461288452148, Stockholm 0.5055017471313477
Colombo= Houston 0.6859012246131897, Oakland 0.634198784828186, Larnaka 0.5980628132820129, Tallinn 0.5867419242858887, Thessaloniki 0.574506402015686, Minneapolis 0.5604230165481567, Kos 0.547309398651123, kyiv 0.543059229850769, Irkutsk 0.524962842464447, rostov-veliky 0.5218054056167603
Manchester= Boston 0.6314980983734131, Athens 0.6265915632247925, Santorini-thira 0.6033161878585815, Hanoi 0.5916650295257568, Turin 0.5887781381607056, Taormina 0.5876042246818542, Ho-Chi-Minh-City 0.5862711668014526, Minsk 0.564694881439209, Orlando 0.5333173274993896, Tuscany 0.5129461288452148
Innsbruck= Dubrovnik 0.7988157272338867, lemesos-limasol 0.7795988321304321, Batumi 0.7496381998062134, Bansko 0.6653031706809998, san-jose 0.6539220809936523, punta-del-este 0.6530244946479797, Sevilla-province 0.6512085199356079, mumbai-bombay 0.6487468481063843, Varna 0.6457534432411194, Edmonton 0.6409487724304199
Singapore= new-york-city 0.6986484527587891, Manila 0.6666257381439209, Toronto 0.6621917486190796, Oslo 0.66157066822052, Calgary 0.5915635228157043, Dresden 0.5624675750732422, Ko-Samui 0.48477405309677124, Venice 0.4581521153450012, san-jose 0.45356887578964233, Sardinia 0.45161470770835876
washington-dc= Budapest 0.4757256805896759, Mauritius 0.47245514392852783, Paris 0.4542067348957062, Brussels 0.44054561853408813, Toronto 0.4261738657951355, Nice 0.4261060953140259, Oslo 0.40635550022125244, London 0.3999369144439697, tsfat 0.3887661397457123, Manila 0.38569068908691406
Ibiza= Male 0.6949925422668457, Dnipropetrovsk 0.6836585998535156, Cartagena 0.6271146535873413, Johannesburg 0.5856591463088989, Samara 0.5841454267501831, Dead-Sea 0.5605705976486206, Palermo 0.5569324493408203, Salzburg 0.5563432574272156, Mitzpe-Ramon 0.5518631339073181, Zichron-Ya-akov 0.5274821519851685
Karpathos= Bari 0.853827714920044, Varna 0.7082289457321167, Dubrovnik 0.6998087763786316, Sevilla-province 0.6749970316886902, Batumi 0.6592128872871399, Catania 0.6547830700874329, Hanoi 0.6533552408218384, el-Salvador 0.6399526596069336, Costa-Brava 0.6396234631538391, las-palmas-de-gran-canaria 0.6343851089477539
Calgary= bucharest 0.7185327410697937, Santo-Domingo 0.6768953800201416, Krasnodar 0.6739819049835205, Varna 0.6687395572662354, Miami 0.6611142158508301, Sevilla-province 0.6543309688568115, Nuremberg 0.6327115297317505, Dubrovnik 0.6325857639312744, mumbai-bombay 0.6324974298477173, Batumi 0.6255438327789307
Bologna= Astana 0.6824132204055786, puerto-de-la-cruz 0.6244736909866333, Male 0.6109650731086731, Grenoble 0.5984988808631897, Geneva 0.5944291353225708, Ho-Chi-Minh-City 0.5904628038406372, Antalya 0.589977502822876, Frankfurt-region 0.5826265811920166, Genoa 0.5657222270965576, Pisa 0.560332179069519
Dallas= mumbai-bombay 0.8244398832321167, Kalamata 0.7768715620040894, Split 0.7749139070510864, Tenerife 0.7125753164291382, Varna 0.660132646560669, Rosh-pina 0.6572011113166809, Zakynthos 0.6535360217094421, Zanzibar-archipelago 0.6450023651123047, punta-del-este 0.6404401063919067, Edmonton 0.6240009665489197
Netanya= Thessaloniki 0.6664034128189087, Antwerp 0.6536906361579895, lago-di-garda 0.643156886100769, Lapland 0.6205635070800781, Bergamo 0.6071050763130188, Larnaka 0.56146639585495, Tallinn 0.5531870126724243, Funchal 0.5510993599891663, Kos 0.5499340295791626, Sevilla-province 0.5479658842086792
Goa= Dubai 0.6590322852134705, Panama-City 0.627342700958252, Belgrade 0.6129288673400879, Chisinau 0.5858607292175293, Corfu 0.5739727020263672, Mexico-City 0.5574370622634888, Sofia 0.5571043491363525, Marseille 0.5474340915679932, Tenerife 0.516335129737854, Las-Vegas 0.5111624002456665
baku-baki= Guangzhou 0.7366418242454529, Kazan 0.7171137928962708, Podgorica 0.7110718488693237, Porto 0.6912365555763245, Phnom-Penh 0.6831086874008179, Prague 0.6454340219497681, Almaty 0.5891197919845581, Chisinau 0.5776074528694153, Beijing 0.5648218989372253, piestany 0.5547086000442505
Simferopol= kyiv 0.6908940076828003, honolulu-and-waikiki 0.679892897605896, puerto-de-la-cruz 0.6551229357719421, Astana 0.6452258825302124, Phoenix 0.6381080746650696, Katowice 0.6177566051483154, Panama-City 0.5318349599838257, Acre 0.5284909605979919, Marseille 0.5206298828125, Sofia 0.5050019025802612
Lapland= Cologne 0.6410940289497375, Netanya 0.6205635070800781, Bergamo 0.6160590648651123, Tallinn 0.5934101343154907, Larnaka 0.5648747682571411, lago-di-garda 0.542456328868866, Houston 0.54150390625, Santo-Domingo 0.5348523855209351, Toulouse 0.5292462706565857, Caesarea 0.5232318639755249
Melbourne= Larnaka 0.5449303388595581, Crete 0.5437702536582947, Seattle 0.5368318557739258, Santo-Domingo 0.5077447891235352, Thessaloniki 0.4865860641002655, Krasnodar 0.4841606914997101, lago-di-garda 0.47705626487731934, Netanya 0.4692949056625366, Toronto 0.4671825170516968, Bergamo 0.46546852588653564
Edinburgh= Vancouver 0.5591188669204712, Bangkok 0.5147169828414917, Cape-Town 0.5011570453643799, London 0.4947103261947632, Ko-Samui 0.47144776582717896, Dresden 0.46915850043296814, punta-del-este 0.4661226272583008, Berlin 0.45362669229507446, Mauritius 0.44338154792785645, Thessaloniki 0.4424198865890503
Philadelphia= Atlanta 0.5170961618423462, Tel-Aviv 0.5046616196632385, Verona 0.48862317204475403, Jerusalem 0.48650360107421875, Skopje 0.4845197796821594, Buenos-Aires 0.47430264949798584, Reykjavk 0.4679238796234131, Taipei 0.4663752615451813, Delhi 0.46476465463638306, Istanbul 0.46390432119369507
Atlanta= Acre 0.6311044692993164, Las-Vegas 0.5951539874076843, Vienna 0.5822316408157349, Naples 0.5765739679336548, Florence 0.561172366142273, Riga 0.5508196949958801, Lyon 0.5323933362960815, Helsinki 0.5193259716033936, Philadelphia 0.5170961618423462, Colombia 0.5020162463188171
Chiang-Mai= lefkosia-south-nicosia 0.7665941715240479, Sofia 0.7217657566070557, Baden-Baden 0.7046910524368286, Liverpool 0.690617561340332, Khabarovsk 0.6573565006256104, Turin 0.6536489725112915, Strasbourg 0.6457004547119141, Corfu 0.6292933225631714, Tenerife 0.5943864583969116, Winnipeg 0.5904149413108826
Vancouver= Plovdiv 0.588909387588501, Bangkok 0.5699414014816284, Edinburgh 0.5591188669204712, lago-di-garda 0.5384306907653809, Khabarovsk 0.5091202855110168, London 0.5006018280982971, Cape-Town 0.47679591178894043, Turin 0.45979729294776917, Toronto 0.4585014581680298, Larnaka 0.44647273421287537
Cape-Town= las-palmas-de-gran-canaria 0.7065523266792297, London 0.6435197591781616, el-Salvador 0.6124013662338257, Mexico-City 0.5727226138114929, Houston 0.5478560328483582, bucharest 0.5476601123809814, Yekaterinburg 0.5457624793052673, Tenerife 0.5354241728782654, Karpathos 0.5193303823471069, Bremen-city 0.5104190111160278
Seoul= west-Kilimanjaro 0.5144275426864624, Skopje 0.5124213695526123, Chicago 0.5111580491065979, Johannesburg 0.4778434932231903, Sarajevo 0.4747253656387329, Tashkent 0.464250385761261, Hong-Kong 0.4494629502296448, Oslo 0.4492145776748657, new-york-city 0.4482501745223999, Osaka 0.4445664882659912
Palermo= Salzburg 0.800872802734375, Grenoble 0.7639771699905396, Mombasa 0.7231131196022034, Belgrade 0.6809994578361511, Colombia 0.6538702845573425, Mykonos 0.6488056182861328, Male 0.6076436638832092, Tbilisi 0.5852518081665039, quito 0.5707502365112305, Bilbao 0.5654752850532532
rostov-veliky= Oakland 0.74614417552948, Edmonton 0.7076846361160278, Thessaloniki 0.705104410648346, Manila 0.6641098260879517, Batumi 0.6622241735458374, Cologne 0.6614447832107544, punta-del-este 0.6583887338638306, Krasnodar 0.6527787446975708, Larnaka 0.6491565108299255, Sevilla-province 0.6309101581573486
Houston= punta-del-este 0.7185823917388916, Colombo 0.6859012246131897, Yekaterinburg 0.6770615577697754, Toulouse 0.6548172235488892, Edmonton 0.6490528583526611, Zakynthos 0.6382910013198853, Manila 0.638045072555542, Mauritius 0.6263343691825867, Tiberias 0.6227133870124817, Tenerife 0.6023013591766357
Sochi= Niagara-Falls 0.7274662256240845, San-Diego 0.6761131882667542, Minneapolis 0.661963701248169, Kos 0.6612108945846558, Guatemala-City 0.6272274851799011, Tirol 0.6118263006210327, Odessa 0.6011269092559814, Hanoi 0.5972645282745361, Stuttgart 0.5832259654998779, Strasbourg 0.5759724378585815
Black-Forest= Tirol 0.6847988963127136, Stuttgart 0.6764393448829651, Guatemala-City 0.6601078510284424, Protaras 0.6187578439712524, Austin 0.6025739908218384, San-Diego 0.5999728441238403, Stockholm 0.5832860469818115, Sochi 0.5460566878318787, Corfu 0.5237026214599609, Eilat 0.5167959332466125
Valencia= Grenoble 0.726409912109375, Bratislava 0.6721158027648926, Bari 0.615947961807251, Denver 0.6048921346664429, Tbilisi 0.5940585136413574, Pisa 0.5735019445419312, Genoa 0.5667098760604858, Liverpool 0.5614910125732422, Santorini-thira 0.5517164468765259, Khabarovsk 0.548629879951477
Tallinn= Hanoi 0.80211341381073, Kos 0.7959177494049072, Costa-Brava 0.7276406288146973, Turin 0.7205616235733032, Minneapolis 0.6797142624855042, Strasbourg 0.6790071129798889, Thessaloniki 0.6410850286483765, Larnaka 0.6273328065872192, Oakland 0.6211570501327515, Niagara-Falls 0.6063639521598816
Baden-Baden= Chiang-Mai 0.7046910524368286, lefkosia-south-nicosia 0.6885064840316772, Basel 0.6769182085990906, Larnaka 0.6701341867446899, Kos 0.6370403170585632, Liverpool 0.6326233148574829, Bratislava 0.6183205842971802, Samara 0.5668835639953613, Vilnius 0.5556303262710571, Belgrade 0.5553367137908936
Guatemala-City= Stuttgart 0.7827914953231812, Eilat 0.7159377336502075, Protaras 0.7116341590881348, Tirol 0.6685415506362915, Minneapolis 0.6621388792991638, Black-Forest 0.6601079702377319, Ushuaia 0.6583482027053833, San-Diego 0.6462737321853638, Sochi 0.6272274851799011, honolulu-and-waikiki 0.6052228212356567
Yekaterinburg= Tenerife 0.8774653673171997, Mexico-City 0.7099572420120239, Houston 0.6770615577697754, Mauritius 0.6726588606834412, Burgas 0.6676211357116699, Panama-City 0.6668325662612915, Sofia 0.6666707992553711, las-palmas-de-gran-canaria 0.6347520351409912, punta-del-este 0.5957909822463989, Dallas 0.5944424271583557
Turin= Strasbourg 0.8177695870399475, Thessaloniki 0.7515101432800293, Hanoi 0.7514072060585022, Tallinn 0.7205616235733032, Kos 0.7191789150238037, Larnaka 0.7043188810348511, Costa-Brava 0.6573774218559265, Orlando 0.657305121421814, Chiang-Mai 0.6536489725112915, Rovaniemi 0.6495662927627563
Herzliya= Salzburg 0.5254958868026733, porto-san-paolo-isola-tavolara 0.46679025888442993, Palermo 0.4541395902633667, Halifax 0.4476189613342285, Cartagena 0.44069504737854004, Ibiza 0.4302583336830139, Colombia 0.4135802388191223, Andorra-la-Vella 0.41288167238235474, Cairo 0.35991036891937256, Grenoble 0.3571966886520386
Hanover= Shanghai 0.691359281539917, Moscow 0.6884599924087524, Riga 0.6308948993682861, Vienna 0.6122373938560486, yangon-rangoon 0.588650107383728, Beijing 0.5832973718643188, Lyon 0.5605247020721436, Bordeaux 0.5506094694137573, Portland 0.5497906804084778, Chisinau 0.5436202883720398
Winnipeg= Ljubljana 0.7336499094963074, Liverpool 0.7032452821731567, Ushuaia 0.6930719614028931, Lima 0.686892032623291, el-Salvador 0.6692863702774048, Omsk 0.6589739322662354, lefkosia-south-nicosia 0.6476966142654419, Panama-City 0.6427808403968811, Odessa 0.6199334859848022, Protaras 0.6182021498680115
Rovaniemi= Catania 0.6900210380554199, Strasbourg 0.6825004816055298, Thessaloniki 0.6741780042648315, Bari 0.672448992729187, Turin 0.6495662927627563, Hanoi 0.616421103477478, Denver 0.6128453016281128, Burgas 0.6062712669372559, Boston 0.6060470342636108, Santo-Domingo 0.6028398871421814
kathmandu= kochi-cochin 0.7282165884971619, Phoenix 0.6886653900146484, Kalamata 0.6774965524673462, Mykonos 0.6743924021720886, Tashkent 0.644654393196106, Mexico-City 0.6436073780059814, Bansko 0.6378486156463623, Sarajevo 0.6157944798469543, Edmonton 0.6139224171638489, Salzburg 0.6116330623626709
Fort-Lauderdale= brisbane 0.7186539173126221, Lima 0.6294678449630737, Bergen 0.629122257232666, Nairobi 0.6188876628875732, Aosta 0.6060006022453308, Tirana 0.6059087514877319, Iraq 0.5893498659133911, Sorrento 0.5879557728767395, Ushuaia 0.5877203941345215, Zagreb 0.5857281684875488
Bogota= Colombia 0.622958779335022, Guangzhou 0.6184051036834717, Shenzhen 0.540367841720581, Tbilisi 0.5193220376968384, Izmir 0.5178347229957581, Almaty 0.4907538592815399, Palermo 0.4871860444545746, Florence 0.48367804288864136, Prague 0.48362085223197937, Cartagena 0.46270689368247986
Katowice= Phoenix 0.7580543160438538, Tashkent 0.699410080909729, Astana 0.659753143787384, Zurich 0.6368738412857056, Simferopol 0.6177564859390259, Frankfurt-region 0.6019244194030762, Male 0.5892384052276611, honolulu-and-waikiki 0.5598471164703369, Marseille 0.5585615038871765, Mombasa 0.5543674230575562
Lyon= yangon-rangoon 0.625028133392334, phuket-province 0.6003363132476807, Shanghai 0.5855152606964111, Bordeaux 0.5685495138168335, Hanover 0.5605247020721436, Atlanta 0.5323933362960815, Vienna 0.5190951824188232, Moscow 0.511982798576355, Luxembourg 0.5083311200141907, Cancun 0.48875316977500916
Mitzpe-Ramon= Cartagena 0.5982569456100464, Bergamo 0.5869172811508179, Golan-Heights 0.5689179301261902, Split 0.5566179752349854, Ibiza 0.5518631935119629, Tashkent 0.5501312613487244, san-jose 0.5478804707527161, Zichron-Ya-akov 0.5393525958061218, Rosh-pina 0.5083470344543457, Zakynthos 0.5058400630950928
San-Diego= Odessa 0.7717387676239014, Omsk 0.7485561966896057, Lima 0.7272515296936035, agia-napa 0.704411506652832, Minneapolis 0.6785887479782104, Sochi 0.6761132478713989, Hanoi 0.6710957288742065, Eilat 0.6693700551986694, Stuttgart 0.6689587831497192, Niagara-Falls 0.6484601497650146
Bergamo= Toulouse 0.7299118638038635, Montevideo 0.7289300560951233, Zanzibar-archipelago 0.6621500253677368, mumbai-bombay 0.6285419464111328, lemesos-limasol 0.6275953054428101, Calgary 0.6253617405891418, Dubrovnik 0.620817244052887, Antwerp 0.6196327209472656, Lapland 0.6160590648651123, Sevilla-province 0.614822506904602
Nuremberg= Munich 0.713957667350769, Dresden 0.7100151777267456, Miami 0.6680691242218018, Calgary 0.6327114701271057, Seattle 0.6214417219161987, Phnom-Penh 0.5551623702049255, Addis-Ababa 0.5489836931228638, Bangkok 0.5384520292282104, Venice 0.5374476313591003, Ko-Samui 0.5234176516532898
Cluj-Napoca= Jerusalem 0.7507501840591431, Nairobi 0.7473416924476624, Sarajevo 0.6649318933486938, Ushuaia 0.621445894241333, Aosta 0.6010092496871948, lefkosia-south-nicosia 0.5903980135917664, Dead-Sea 0.5855646133422852, Bergen 0.5716738700866699, Ljubljana 0.5679570436477661, Dnipropetrovsk 0.5548897981643677
